,Level_A,Level_B,Level_C,Level_D,ids
10,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],NMB1285 eno; enolase	K01689 ENO; enolase [EC:4.2.1.11],NMB1285
11,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],NMB0089 pykA; pyruvate kinase II	K00873 PK; pyruvate kinase [EC:2.7.1.40],NMB0089
12,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],"NMB0618 ppsA; phosphoenolpyruvate synthase	K01007 pps; pyruvate, water dikinase [EC:2.7.9.2]",NMB0618
13,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],"NMB1341 pdhA; pyruvate dehydrogenase, E1 component	K00163 aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]",NMB1341
14,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],"NMB1342 aceF; pyruvate dehydrogenase, E2 component, dihydrolipoamide acetyltransferase	K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]",NMB1342
15,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],NMB0947 putative 2-oxoglutarate dehydrogenase	K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4],NMB0947
16,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],"NMB0957 lpdA1; 2-oxoglutarate dehydrogenase, E3 component, lipoamide dehydrogenase	K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]",NMB0957
17,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],"NMB1344 lpdA2; pyruvate dehydrogenase, E3 component, lipoamide dehydrogenase	K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]",NMB1344
18,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],NMB1304 alcohol dehydrogenase	K00121 frmA; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1],NMB1304
19,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],"NMB0546 adhP; alcohol dehydrogenase, propanol-preferring	K13953 adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]",NMB0546
20,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],NMB0389 galM; aldose 1-epimerase	K01785 galM; aldose 1-epimerase [EC:5.1.3.3],NMB0389
21,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:nme00010],NMB0790 pgm; phosphoglucomutase	K01835 pgm; phosphoglucomutase [EC:5.4.2.2],NMB0790
22,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:nme00020],NMB0954 gltA; citrate synthase	K01647 CS; citrate synthase [EC:2.3.3.1],NMB0954
23,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:nme00020],NMB1572 acnB; aconitate hydratase 2	K01682 acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99],NMB1572
24,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:nme00020],"NMB0920 icd; isocitrate dehydrogenase, NADP-dependent, monomeric type	K00031 IDH1; isocitrate dehydrogenase [EC:1.1.1.42]",NMB0920
25,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:nme00020],"NMB0955 sucA; 2-oxoglutarate dehydrogenase, E1 component	K00164 OGDH; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]",NMB0955
26,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:nme00020],"NMB0956 sucB; 2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase	K00658 DLST; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]",NMB0956
27,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:nme00020],NMB0947 putative 2-oxoglutarate dehydrogenase	K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4],NMB0947
28,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:nme00020],"NMB0957 lpdA1; 2-oxoglutarate dehydrogenase, E3 component, lipoamide dehydrogenase	K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]",NMB0957
29,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:nme00020],"NMB1344 lpdA2; pyruvate dehydrogenase, E3 component, lipoamide dehydrogenase	K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]",NMB1344
30,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:nme00020],"NMB0960 sucD; succinyl-CoA synthetase, alpha subunit	K01902 sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]",NMB0960
31,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:nme00020],"NMB0959 sucC; succinyl-CoA synthetase, beta subunit	K01903 sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]",NMB0959
32,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:nme00020],"NMB0950 sdhA; succinate dehydrogenase, flavoprotein subunit	K00239 sdhA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]",NMB0950
33,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:nme00020],"NMB0951 sdhB; succinate dehydrogenase, iron-sulfur protein	K00240 sdhB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]",NMB0951
34,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:nme00020],"NMB0948 sdhC; succinate dehydrogenase, cytochrome b556 subunit	K00241 sdhC; succinate dehydrogenase cytochrome b subunit",NMB0948
35,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:nme00020],"NMB0949 sdhD; succinate dehydrogenase, hydrophobic membrane anchor protein	K00242 sdhD; succinate dehydrogenase membrane anchor subunit",NMB0949
36,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:nme00020],"NMB1613 fumB; fumarate hydratase, class I, anaerobic	K01676 E4.2.1.2A; fumarate hydratase, class I [EC:4.2.1.2]",NMB1613
38,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:nme00020],NMB2096 yojH; malate:quinone oxidoreductase	K00116 mqo; malate dehydrogenase (quinone) [EC:1.1.5.4],NMB2096
39,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:nme00020],"NMB1341 pdhA; pyruvate dehydrogenase, E1 component	K00163 aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]",NMB1341
40,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:nme00020],"NMB1342 aceF; pyruvate dehydrogenase, E2 component, dihydrolipoamide acetyltransferase	K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]",NMB1342
41,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:nme00030],NMB0334 pgi-1; glucose-6-phosphate isomerase	K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9],NMB0334
42,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:nme00030],NMB1388 pgi-2; glucose-6-phosphate isomerase	K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9],NMB1388
43,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:nme00030],NMB1392 zwf; glucose-6-phosphate 1-dehydrogenase	K00036 G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363],NMB1392
44,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:nme00030],NMB1391 oxidoreductase	K01057 PGLS; 6-phosphogluconolactonase [EC:3.1.1.31],NMB1391
45,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:nme00030],"NMB0015 gnd; 6-phosphogluconate dehydrogenase, decarboxylating	K00033 PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]",NMB0015
46,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:nme00030],NMB1244 rpe; ribulose-phosphate 3-epimerase	K01783 rpe; ribulose-phosphate 3-epimerase [EC:5.1.3.1],NMB1244
47,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:nme00030],NMB1457 tktA; transketolase	K00615 E2.2.1.1; transketolase [EC:2.2.1.1],NMB1457
48,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:nme00030],NMB0351 tal; transaldolase	K00616 E2.2.1.2; transaldolase [EC:2.2.1.2],NMB0351
49,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:nme00030],NMB1511 rpiA; ribose 5-phosphate isomerase A	K01807 rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6],NMB1511
50,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:nme00030],NMB0790 pgm; phosphoglucomutase	K01835 pgm; phosphoglucomutase [EC:5.4.2.2],NMB0790
51,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:nme00030],NMB0875 prsA; ribose-phosphate pyrophosphokinase	K00948 PRPS; ribose-phosphate pyrophosphokinase [EC:2.7.6.1],NMB0875
52,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:nme00030],NMB1393 edd; phosphogluconate dehydratase	K01690 edd; phosphogluconate dehydratase [EC:4.2.1.12],NMB1393
53,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:nme00030],NMB1394 eda; 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxyphosphogluconate aldolase	K01625 eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42],NMB1394
54,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:nme00030],NMB2028 gntK; thermoresistant gluconokinase	K00851 idnK; gluconokinase [EC:2.7.1.12],NMB2028
55,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:nme00030],"NMB1869 cbbA; fructose-bisphosphate aldolase	K01624 FBA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",NMB1869
56,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:nme00030],"NMB1060 fbp; fructose-1,6-bisphosphatase	K03841 FBP; fructose-1,6-bisphosphatase I [EC:3.1.3.11]",NMB1060
57,09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:nme00040],NMB0638 galU; UTP--glucose-1-phosphate uridylyltransferase	K00963 UGP2; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9],NMB0638
58,09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:nme00040],NMB1244 rpe; ribulose-phosphate 3-epimerase	K01783 rpe; ribulose-phosphate 3-epimerase [EC:5.1.3.1],NMB1244
59,09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:nme00051],"NMB1060 fbp; fructose-1,6-bisphosphatase	K03841 FBP; fructose-1,6-bisphosphatase I [EC:3.1.3.11]",NMB1060
60,09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:nme00051],"NMB1869 cbbA; fructose-bisphosphate aldolase	K01624 FBA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",NMB1869
61,09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:nme00051],NMB1887 tpiA; triosephosphate isomerase	K01803 TPI; triosephosphate isomerase (TIM) [EC:5.3.1.1],NMB1887
62,09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:nme00051],NMB2046 PTS system	K02793 manXa; mannose PTS system EIIA component [EC:2.7.1.191],NMB2046
63,09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:nme00052],NMB0389 galM; aldose 1-epimerase	K01785 galM; aldose 1-epimerase [EC:5.1.3.3],NMB0389
64,09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:nme00052],NMB0064 galE; UDP-glucose 4-epimerase	K01784 galE; UDP-glucose 4-epimerase [EC:5.1.3.2],NMB0064
65,09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:nme00052],NMB0638 galU; UTP--glucose-1-phosphate uridylyltransferase	K00963 UGP2; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9],NMB0638
66,09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:nme00052],NMB0790 pgm; phosphoglucomutase	K01835 pgm; phosphoglucomutase [EC:5.4.2.2],NMB0790
67,09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:nme00052],NMB1390 glk; glucokinase	K00845 glk; glucokinase [EC:2.7.1.2],NMB1390
68,09100 Metabolism,09101 Carbohydrate metabolism,00500 Starch and sucrose metabolism [PATH:nme00500],NMB0638 galU; UTP--glucose-1-phosphate uridylyltransferase	K00963 UGP2; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9],NMB0638
69,09100 Metabolism,09101 Carbohydrate metabolism,00500 Starch and sucrose metabolism [PATH:nme00500],NMB0390 mapA; maltose phosphorylase	K00691 mapA; maltose phosphorylase [EC:2.4.1.8],NMB0390
71,09100 Metabolism,09101 Carbohydrate metabolism,00500 Starch and sucrose metabolism [PATH:nme00500],NMB0790 pgm; phosphoglucomutase	K01835 pgm; phosphoglucomutase [EC:5.4.2.2],NMB0790
72,09100 Metabolism,09101 Carbohydrate metabolism,00500 Starch and sucrose metabolism [PATH:nme00500],NMB1390 glk; glucokinase	K00845 glk; glucokinase [EC:2.7.1.2],NMB1390
73,09100 Metabolism,09101 Carbohydrate metabolism,00500 Starch and sucrose metabolism [PATH:nme00500],NMB0334 pgi-1; glucose-6-phosphate isomerase	K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9],NMB0334
74,09100 Metabolism,09101 Carbohydrate metabolism,00500 Starch and sucrose metabolism [PATH:nme00500],NMB1388 pgi-2; glucose-6-phosphate isomerase	K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9],NMB1388
75,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:nme00520],NMB0530 glycosyl hydrolase	K01207 nagZ; beta-N-acetylhexosaminidase [EC:3.2.1.52],NMB0530
76,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:nme00520],NMB0031 glmS; glucosamine--fructose-6-phosphate aminotransferase (isomerizing)	K00820 glmS; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16],NMB0031
77,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:nme00520],NMB1690 phosphoglucomutase/phosphomannomutase family protein	K03431 glmM; phosphoglucosamine mutase [EC:5.4.2.10],NMB1690
78,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:nme00520],NMB0038 glmU; UDP-N-acetylglucosamine pyrophosphorylase	K04042 glmU; bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157],NMB0038
79,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:nme00520],NMB0377 conserved hypothetical protein	K09001 anmK; anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170],NMB0377
80,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:nme00520],NMB0620 pgp; phosphoglycolate phosphatase	K22292 mupP; N-acetyl-D-muramate 6-phosphate phosphatase [EC:3.1.3.105],NMB0620
82,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:nme00520],NMB1841 mannose-1-phosphate guanyltransferase-related protein	K00992 murU; N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99],NMB1841
83,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:nme00520],NMB0011 murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase	K00790 murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7],NMB0011
84,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:nme00520],NMB0811 murB; UDP-N-acetylpyruvoylglucosamine reductase	K00075 murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98],NMB0811
85,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:nme00520],NMB0070 synX; polysialic acid capsule biosynthesis protein SynX	K08068 siaA; UDP-N-acetylglucosamine 2-epimerase (hydrolysing) [EC:3.2.1.183],NMB0070
86,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:nme00520],NMB0068 siaC; polysialic acid capsule biosynthesis protein SiaC	K01654 neuB; N-acetylneuraminate synthase [EC:2.5.1.56],NMB0068
87,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:nme00520],NMB0069 siaB; polysialic acid capsule biosynthesis protein SiaB	K00983 neuA; N-acylneuraminate cytidylyltransferase [EC:2.7.7.43],NMB0069
88,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:nme00520],NMB1390 glk; glucokinase	K00845 glk; glucokinase [EC:2.7.1.2],NMB1390
89,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:nme00520],NMB0790 pgm; phosphoglucomutase	K01835 pgm; phosphoglucomutase [EC:5.4.2.2],NMB0790
90,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:nme00520],NMB0638 galU; UTP--glucose-1-phosphate uridylyltransferase	K00963 UGP2; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9],NMB0638
91,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:nme00520],NMB0064 galE; UDP-glucose 4-epimerase	K01784 galE; UDP-glucose 4-epimerase [EC:5.1.3.2],NMB0064
92,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:nme00520],NMB2046 PTS system	K02793 manXa; mannose PTS system EIIA component [EC:2.7.1.191],NMB2046
93,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:nme00520],NMB0334 pgi-1; glucose-6-phosphate isomerase	K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9],NMB0334
94,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:nme00520],NMB1388 pgi-2; glucose-6-phosphate isomerase	K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9],NMB1388
96,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:nme00620],"NMB1341 pdhA; pyruvate dehydrogenase, E1 component	K00163 aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]",NMB1341
97,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:nme00620],"NMB1342 aceF; pyruvate dehydrogenase, E2 component, dihydrolipoamide acetyltransferase	K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]",NMB1342
98,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:nme00620],NMB0947 putative 2-oxoglutarate dehydrogenase	K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4],NMB0947
99,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:nme00620],"NMB0957 lpdA1; 2-oxoglutarate dehydrogenase, E3 component, lipoamide dehydrogenase	K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]",NMB0957
100,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:nme00620],"NMB1344 lpdA2; pyruvate dehydrogenase, E3 component, lipoamide dehydrogenase	K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]",NMB1344
101,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:nme00620],"NMB0546 adhP; alcohol dehydrogenase, propanol-preferring	K13953 adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]",NMB0546
102,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:nme00620],NMB1304 alcohol dehydrogenase	K00121 frmA; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1],NMB1304
103,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:nme00620],NMB0435 ackA-1; acetate kinase	K00925 ackA; acetate kinase [EC:2.7.2.1],NMB0435
104,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:nme00620],NMB1518 ackA-2; acetate kinase	K00925 ackA; acetate kinase [EC:2.7.2.1],NMB1518
105,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:nme00620],NMB0631 putative phosphate acetyltransferase Pta	K13788 pta; phosphate acetyltransferase [EC:2.3.1.8],NMB0631
106,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:nme00620],NMB0089 pykA; pyruvate kinase II	K00873 PK; pyruvate kinase [EC:2.7.1.40],NMB0089
107,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:nme00620],"NMB1139 accA-1; acetyl-CoA carboxylase, carboxyl transferase alpha subunit	K01962 accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]",NMB1139
108,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:nme00620],"NMB1177 accA-2; acetyl-CoA carboxylase, carboxyl transferase alpha subunit	K01962 accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]",NMB1177
109,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:nme00620],"NMB1860 accB; acetyl-CoA carboxylase, biotin carboxyl carrier protein	K02160 accB; acetyl-CoA carboxylase biotin carboxyl carrier protein",NMB1860
110,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:nme00620],"NMB1861 accC; acetyl-CoA carboxylase, biotin carboxylase	K01961 accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",NMB1861
111,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:nme00620],"NMB0679 accD; acetyl-CoA carboxylase, carboxyl transferase beta subunit	K01963 accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]",NMB0679
112,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:nme00620],NMB1377 lldD; L-lactate dehydrogenase	K00101 lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3],NMB1377
113,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:nme00620],NMB1685 ldhA; D-lactate dehydrogenase	K03778 ldhA; D-lactate dehydrogenase [EC:1.1.1.28],NMB1685
114,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:nme00620],NMB0997 dld; D-lactate dehydrogenase	K03777 dld; D-lactate dehydrogenase (quinone) [EC:1.1.5.12],NMB0997
