,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
264,NMB0060,NGO_1900,97.623,673,16,0,1,673,1,673,0.0,1301.0,673,1.0,<=>
265,NMB0062,NGO_1898,88.927,289,32,0,1,289,1,289,0.0,539.0,289,1.0,->
268,NMB0063,NGO_1897,91.15,339,30,0,2,340,7,345,0.0,651.0,356,0.952247191011236,->
271,NMB0064,NGO_1896,81.306,337,63,0,4,340,3,339,0.0,579.0,340,0.9911764705882353,->
275,NMB0066,NGO_0272,28.685,251,152,9,7,237,9,252,2.4199999999999998e-23,91.3,245,1.0244897959183674,->
292,NMB0074,NGO_0870,38.71,62,34,1,1,62,3,60,9.73e-09,50.4,217,0.2857142857142857,->
304,NMB0075,NGO_1895,96.834,758,24,0,1,758,1,758,0.0,1486.0,758,1.0,<=>
312,NMB0077,NGO_1893,97.368,114,3,0,3,116,1,114,2.04e-80,235.0,117,0.9743589743589743,<=>
313,NMB0078,NGO_1896,85.507,207,30,0,13,219,133,339,3.48e-136,381.0,219,0.9452054794520548,<=>
316,NMB0079,NGO_1897,91.15,339,30,0,2,340,7,345,0.0,651.0,356,0.952247191011236,<=>
319,NMB0080,NGO_1898,88.927,289,32,0,1,289,1,289,0.0,539.0,289,1.0,<=>
322,NMB0081,NGO_10165,76.705,176,41,0,6,181,1,176,9.299999999999999e-104,292.0,185,0.9513513513513514,<=>
323,NMB0085,NGO_1890,97.778,405,9,0,1,405,1,405,0.0,787.0,405,1.0,<=>
324,NMB0086,NGO_1889,95.87,339,14,0,1,339,1,339,0.0,639.0,339,1.0,<=>
325,NMB0087,NGO_1888,95.455,66,3,0,1,66,1,66,6.640000000000001e-43,129.0,66,1.0,<=>
326,NMB0088,NGO_10090,87.868,272,28,3,198,467,1,269,2.11e-165,463.0,467,0.582441113490364,<=>
328,NMB0089,NGO_1881,99.185,491,4,0,1,491,1,491,0.0,984.0,491,1.0,<=>
329,NMB0102,NGO_1880,96.532,173,6,0,1,173,12,184,3.5900000000000004e-117,325.0,173,1.0,<=>
330,NMB0103,NGO_1879,98.788,165,2,0,1,165,33,197,2.39e-123,341.0,165,1.0,<=>
336,NMB0104,NGO_0165,37.113,97,49,3,109,197,8,100,1.67e-10,54.3,225,0.4311111111111111,->
337,NMB0105,NGO_1878,94.662,281,15,0,1,281,1,281,0.0,536.0,281,1.0,<=>
338,NMB0106,NGO_1877,97.394,307,8,0,1,307,1,307,0.0,619.0,307,1.0,<=>
340,NMB0107,NGO_1876,96.732,153,5,0,1,153,1,153,4.9500000000000004e-110,305.0,153,1.0,<=>
341,NMB0108,NGO_1875,98.37,184,3,0,1,184,1,184,6.39e-134,371.0,222,0.8288288288288288,<=>
342,NMB0109,NGO_1873,89.776,401,37,1,39,435,1,401,0.0,734.0,444,0.9031531531531531,<=>
343,NMB0110,NGO_1871,98.81,168,2,0,1,168,1,168,3e-122,337.0,168,1.0,<=>
344,NMB0111,NGO_1870,97.411,309,8,0,1,309,1,309,0.0,608.0,309,1.0,<=>
346,NMB0112,NGO_1869,95.476,420,19,0,1,420,1,420,0.0,826.0,420,1.0,<=>
348,NMB0113,NGO_1868,93.37,181,12,0,1,181,20,200,6.88e-124,343.0,181,1.0,<=>
349,NMB0114,NGO_1867,93.777,707,44,0,1,707,1,707,0.0,1293.0,707,1.0,<=>
351,NMB0115,NGO_1866,89.671,426,44,0,1,426,1,426,0.0,757.0,426,1.0,<=>
354,NMB0116,NGO_1865,90.201,398,37,1,1,398,1,396,0.0,671.0,398,1.0,<=>
355,NMB0117,NGO_1864,99.351,154,1,0,1,154,1,154,7.25e-111,307.0,154,1.0,<=>
356,NMB0118,NGO_1863,98.7,769,10,0,1,769,1,769,0.0,1582.0,769,1.0,<=>
358,NMB0121,NGO_1861,64.286,56,19,1,60,114,51,106,1.52e-19,73.9,126,0.4444444444444444,<=>
359,NMB0122,NGO_1860,84.211,190,30,0,1,190,1,190,4.18e-118,329.0,190,1.0,<=>
361,NMB0123,NGO_1859,100.0,84,0,0,1,84,1,84,1.0300000000000001e-57,167.0,84,1.0,<=>
364,NMB0124,NGO_1858,99.494,395,2,0,1,395,1,395,0.0,800.0,395,1.0,<=>
371,NMB0125,NGO_1857,98.925,93,1,0,1,93,1,93,1.3700000000000001e-64,186.0,93,1.0,<=>
372,NMB0126,NGO_1856,100.0,179,0,0,1,179,1,179,6.05e-130,358.0,179,1.0,<=>
373,NMB0127,NGO_1855,98.621,145,2,0,1,145,1,145,3.88e-101,282.0,145,1.0,<=>
374,NMB0128,NGO_1854,96.983,232,7,0,1,232,1,232,2.9400000000000004e-163,446.0,232,1.0,<=>
375,NMB0129,NGO_09900,100.0,48,0,0,1,48,1,48,2.7699999999999997e-30,95.9,48,1.0,<=>
376,NMB0130,NGO_1853,99.401,167,1,0,1,167,1,167,7.96e-117,323.0,167,1.0,<=>
377,NMB0131,NGO_1852,99.194,124,1,0,1,124,1,124,1.13e-79,226.0,124,1.0,<=>
378,NMB0132,NGO_1851,99.282,1393,10,0,3,1395,1,1393,0.0,2831.0,1395,0.9985663082437276,<=>
379,NMB0133,NGO_1850,99.497,1392,7,0,1,1392,1,1392,0.0,2837.0,1392,1.0,<=>
380,NMB0134,NGO_1848,85.714,77,11,0,1,77,1,77,3.4500000000000002e-43,131.0,86,0.8953488372093024,<=>
381,NMB0135,NGO_1846,90.0,50,5,0,1,50,1,50,2.37e-28,91.3,50,1.0,<=>
384,NMB0136,NGO_1845,99.194,124,1,0,1,124,1,124,1.91e-88,248.0,124,1.0,<=>
385,NMB0137,NGO_1844,98.726,157,2,0,1,157,1,157,2.66e-111,309.0,157,1.0,<=>
386,NMB0138,NGO_1843,99.145,702,6,0,1,702,1,702,0.0,1427.0,702,1.0,<=>
397,NMB0139,NGO_1858,99.241,395,3,0,1,395,1,395,0.0,799.0,395,1.0,->
404,NMB0140,NGO_1841,100.0,104,0,0,1,104,1,104,7.95e-74,210.0,104,1.0,<=>
405,NMB0141,NGO_10180,84.615,91,14,0,1,91,12,102,2.0999999999999997e-54,163.0,122,0.7459016393442623,->
411,NMB0142,NGO_1838,100.0,215,0,0,1,215,1,215,1.61e-156,428.0,215,1.0,<=>
412,NMB0143,NGO_1837,98.068,207,4,0,1,207,1,207,6.95e-152,416.0,207,1.0,<=>
413,NMB0144,NGO_1836,91.429,105,9,0,1,105,3,107,5.32e-53,157.0,105,1.0,<=>
414,NMB0145,NGO_1835,98.921,278,3,0,1,278,1,278,0.0,553.0,278,1.0,<=>
415,NMB0146,NGO_1834,98.925,93,1,0,1,93,1,93,1.84e-64,185.0,93,1.0,<=>
416,NMB0147,NGO_1833,100.0,110,0,0,1,110,1,110,3.51e-77,219.0,110,1.0,<=>
417,NMB0148,NGO_1832,99.134,231,2,0,1,231,1,231,1.02e-172,470.0,231,1.0,<=>
418,NMB0149,NGO_18311,100.0,139,0,0,1,139,1,139,3.7300000000000004e-99,276.0,139,1.0,<=>
419,NMB0150,NGO_1831,100.0,64,0,0,1,64,1,64,2.62e-41,125.0,64,1.0,<=>
420,NMB0151,NGO_1830,98.864,88,1,0,1,88,1,88,5.8e-59,171.0,88,1.0,<=>
421,NMB0152,NGO_1829,99.187,123,1,0,1,123,1,123,1.81e-85,241.0,123,1.0,<=>
422,NMB0153,NGO_1828,98.148,108,2,0,1,108,1,108,8.76e-70,200.0,108,1.0,<=>
423,NMB0154,NGO_1827,98.889,180,2,0,1,180,1,180,3.2999999999999997e-131,361.0,180,1.0,<=>
424,NMB0155,NGO_18261,100.0,102,0,0,1,102,1,102,6.650000000000001e-70,200.0,102,1.0,<=>
425,NMB0156,NGO_1826,100.0,131,0,0,1,131,1,131,9.74e-94,262.0,131,1.0,<=>
426,NMB0157,NGO_1825,97.753,178,4,0,1,178,1,178,8.93e-127,350.0,178,1.0,<=>
427,NMB0158,NGO_18241,100.0,118,0,0,1,118,1,118,1.18e-82,233.0,118,1.0,<=>
428,NMB0159,NGO_1824,100.0,173,0,0,1,173,1,173,4.0000000000000006e-124,342.0,173,1.0,<=>
429,NMB0160,NGO_18231,98.387,62,1,0,1,62,1,62,7.019999999999999e-40,121.0,62,1.0,<=>
430,NMB0161,NGO_1823,98.621,145,2,0,1,145,1,145,2.23e-98,275.0,145,1.0,<=>
431,NMB0162,NGO_1822,99.085,437,4,0,1,437,1,437,0.0,867.0,437,1.0,<=>
432,NMB0163,NGO_18211,100.0,73,0,0,1,73,1,73,3.32e-51,150.0,73,1.0,<=>
433,NMB0164,NGO_09710,97.368,38,1,0,1,38,1,38,2.36e-20,70.5,38,1.0,<=>
434,NMB0165,NGO_1821,100.0,121,0,0,1,121,1,121,7.38e-87,244.0,121,1.0,<=>
435,NMB0166,NGO_1820,100.0,132,0,0,1,132,1,132,7.129999999999999e-95,265.0,132,1.0,<=>
436,NMB0167,NGO_1819,100.0,207,0,0,1,207,1,207,2.95e-153,419.0,207,1.0,<=>
437,NMB0168,NGO_1818,98.784,329,4,0,1,329,1,329,0.0,657.0,329,1.0,<=>
438,NMB0169,NGO_1817,98.374,123,2,0,1,123,1,123,1.9600000000000002e-85,241.0,123,1.0,<=>
439,NMB0170,NGO_1816,98.739,238,3,0,1,238,1,238,1.97e-177,483.0,238,1.0,<=>
440,NMB0171,NGO_09675,98.897,272,3,0,1,272,1,272,0.0,545.0,272,1.0,<=>
443,NMB0172,NGO_1814,97.727,88,2,0,1,88,1,88,3.5e-59,172.0,88,1.0,<=>
444,NMB0173,NGO_1813,99.349,307,2,0,1,307,1,307,0.0,618.0,307,1.0,<=>
448,NMB0174,NGO_1809,97.252,946,26,0,1,946,1,946,0.0,1920.0,946,1.0,<=>
451,NMB0176,NGO_1808,95.204,417,20,0,1,417,1,417,0.0,822.0,419,0.9952267303102625,<=>
452,NMB0177,NGO_1807,96.336,464,17,0,1,464,1,464,0.0,877.0,464,1.0,<=>
455,NMB0178,NGO_1806,97.683,259,6,0,1,259,1,259,0.0,526.0,259,1.0,<=>
458,NMB0179,NGO_1804,99.333,150,1,0,1,150,1,150,8.530000000000001e-109,302.0,150,1.0,<=>
459,NMB0180,NGO_1803,97.668,343,8,0,1,343,1,343,0.0,683.0,349,0.9828080229226361,<=>
463,NMB0181,NGO_1802,94.611,167,9,0,1,167,1,167,1.07e-114,318.0,167,1.0,<=>
464,NMB0182,NGO_1801,95.363,798,32,2,1,798,1,793,0.0,1560.0,798,1.0,<=>
466,NMB0183,NGO_1800,97.539,447,11,0,1,447,1,447,0.0,885.0,447,1.0,<=>
467,NMB0184,NGO_1799,94.43,395,22,0,1,395,1,395,0.0,764.0,395,1.0,<=>
468,NMB0185,NGO_1798,96.617,266,9,0,1,266,1,266,0.0,510.0,266,1.0,<=>
469,NMB0186,NGO_1797,97.189,249,7,0,1,249,1,249,0.0,499.0,249,1.0,<=>
470,NMB0187,NGO_1796,97.849,186,4,0,1,186,1,186,3.1400000000000004e-132,364.0,186,1.0,<=>
471,NMB0188,NGO_1793,96.809,376,12,0,1,376,1,376,0.0,741.0,376,1.0,<=>
472,NMB0189,NGO_1792,91.27,126,9,1,1,126,1,124,2.47e-75,217.0,141,0.8936170212765957,<=>
473,NMB0190,NGO_1791,96.154,208,8,0,1,208,1,208,7.390000000000001e-148,405.0,208,1.0,<=>
474,NMB0191,NGO_1790,98.45,258,4,0,1,258,1,258,0.0,506.0,258,1.0,<=>
477,NMB0192,NGO_1789,94.872,195,10,0,1,195,1,195,8.81e-136,374.0,195,1.0,<=>
478,NMB0193,NGO_1788,98.576,632,9,0,1,632,1,632,0.0,1285.0,632,1.0,<=>
479,NMB0194,NGO_1787,99.58,476,2,0,1,476,1,476,0.0,952.0,476,1.0,<=>
482,NMB0195,NGO_1786,97.281,331,8,1,7,336,1,331,0.0,634.0,336,0.9851190476190477,<=>
483,NMB0196,NGO_1785,96.196,920,35,0,1,920,1,920,0.0,1801.0,920,1.0,<=>
485,NMB0197,NGO_1784,95.0,40,2,0,57,96,63,102,4.72e-21,76.3,96,0.4166666666666667,<=>
486,NMB0198,NGO_1783,97.583,331,8,0,1,331,1,331,0.0,652.0,331,1.0,<=>
490,NMB0199,NGO_1782,97.187,391,11,0,1,391,1,391,0.0,765.0,391,1.0,<=>
492,NMB0202,NGO_0889,56.667,30,8,1,6,35,8,32,0.000838,29.6,58,0.5172413793103449,<=>
493,NMB0203,NGO_1781,98.148,270,5,0,1,270,1,270,0.0,533.0,270,1.0,<=>
494,NMB0204,NGO_1780,92.742,124,9,0,1,124,1,124,3.3999999999999998e-84,238.0,126,0.9841269841269841,<=>
495,NMB0205,NGO_1779,98.621,145,2,0,1,145,1,145,5.3500000000000004e-105,292.0,145,1.0,<=>
497,NMB0206,NGO_1778,96.694,242,8,0,1,242,1,242,5.06e-178,484.0,242,1.0,<=>
498,NMB0207,NGO_1776,99.419,344,2,0,1,344,1,344,0.0,703.0,344,1.0,<=>
500,NMB0208,NGO_1775,92.857,280,20,0,1,280,1,280,0.0,525.0,280,1.0,<=>
502,NMB0211,NGO_1773,95.671,462,20,0,1,462,1,462,0.0,882.0,462,1.0,<=>
503,NMB0212,NGO_1772,98.871,797,9,0,1,797,1,797,0.0,1622.0,797,1.0,<=>
506,NMB0213,NGO_1771,97.938,291,6,0,39,329,1,291,0.0,574.0,329,0.8844984802431611,<=>
507,NMB0214,NGO_1770,95.14,679,33,0,1,679,1,679,0.0,1312.0,679,1.0,<=>
508,NMB0215,NGO_1768,93.122,189,13,0,1,189,1,189,2.2800000000000002e-123,342.0,189,1.0,<=>
509,NMB0216,NGO_1767,98.812,505,6,0,1,505,1,505,0.0,1046.0,505,1.0,<=>
510,NMB0217,NGO_09380,90.995,211,19,0,1,211,22,232,5.17e-142,397.0,284,0.7429577464788732,<=>
511,NMB0218,NGO_1765,96.817,377,12,0,1,377,1,377,0.0,731.0,377,1.0,<=>
513,NMB0219,NGO_1763,97.596,416,10,0,1,416,1,416,0.0,816.0,416,1.0,<=>
515,NMB0220,NGO_1762,98.734,79,1,0,1,79,1,79,2e-53,156.0,79,1.0,<=>
516,NMB0221,NGO_1761,93.155,336,23,0,1,336,1,336,0.0,634.0,336,1.0,<=>
517,NMB0222,NGO_1760,94.937,158,8,0,1,158,1,158,1.47e-110,307.0,158,1.0,<=>
518,NMB0223,NGO_1759,90.411,73,7,0,1,73,40,112,5.970000000000001e-44,133.0,73,1.0,<=>
519,NMB0224,NGO_1758,93.645,897,57,0,1,897,1,897,0.0,1737.0,897,1.0,<=>
520,NMB0226,NGO_2068,54.113,231,105,1,1,231,1,230,1.12e-85,250.0,231,1.0,->
521,NMB0232,NGO_1757,97.011,736,22,0,1,736,1,736,0.0,1479.0,736,1.0,<=>
525,NMB0235,NGO_10560,96.226,53,2,0,1,53,1,53,1.2800000000000002e-32,102.0,54,0.9814814814814815,<=>
528,NMB0236,NGO_10565,100.0,68,0,0,1,68,1,68,2.21e-45,135.0,68,1.0,<=>
530,NMB0237,NGO_1967,100.0,120,0,0,1,120,1,120,5.82e-86,242.0,120,1.0,<=>
532,NMB0239,NGO_1753,98.551,207,3,0,1,207,1,207,4.09e-147,404.0,207,1.0,<=>
533,NMB0240,NGO_1752,99.174,484,4,0,1,484,1,484,0.0,983.0,484,1.0,<=>
534,NMB0241,NGO_1751,96.639,119,4,0,1,119,1,119,1.3e-80,228.0,119,1.0,<=>
535,NMB0242,NGO_1750,99.379,161,1,0,1,161,1,161,6.39e-120,331.0,161,1.0,<=>
536,NMB0243,NGO_1749,95.96,198,8,0,1,198,1,198,1.49e-143,394.0,198,1.0,<=>
537,NMB0244,NGO_1748,98.568,419,6,0,1,419,1,419,0.0,861.0,419,1.0,<=>
538,NMB0245,NGO_1747,99.367,158,1,0,1,158,1,158,6.18e-117,323.0,158,1.0,<=>
539,NMB0246,NGO_1746,99.309,434,3,0,1,434,1,434,0.0,892.0,434,1.0,<=>
540,NMB0247,NGO_09270,95.455,88,4,0,1,88,6,93,1.19e-58,173.0,146,0.6027397260273972,<=>
541,NMB0248,NGO_1911,51.899,79,37,1,1,79,8,85,1.3500000000000002e-26,89.7,80,0.9875,->
542,NMB0249,NGO_1745,96.817,754,24,0,1,754,1,754,0.0,1509.0,754,1.0,<=>
543,NMB0250,NGO_1744,99.164,359,3,0,1,359,1,359,0.0,702.0,359,1.0,<=>
544,NMB0251,NGO_1743,100.0,160,0,0,1,160,1,160,4.5099999999999996e-119,328.0,160,1.0,<=>
545,NMB0253,NGO_1742,94.196,224,13,0,1,224,1,224,2.3e-139,385.0,224,1.0,<=>
546,NMB0254,NGO_1741,100.0,102,0,0,1,102,1,102,7.21e-69,197.0,102,1.0,<=>
547,NMB0255,NGO_03335,40.0,120,58,5,40,147,11,128,2.79e-20,79.3,192,0.625,<=>
548,NMB0257,NGO_1740,97.778,675,15,0,1,675,1,675,0.0,1336.0,675,1.0,<=>
551,NMB0258,NGO_1738,98.196,499,9,0,1,499,1,499,0.0,981.0,499,1.0,<=>
554,NMB0259,NGO_1737,93.568,482,30,1,1,481,1,482,0.0,816.0,481,1.002079002079002,<=>
557,NMB0261,NGO_1735,96.923,260,8,0,1,260,40,299,0.0,496.0,260,1.0,<=>
559,NMB0262,NGO_1734,96.0,75,3,0,1,75,1,75,3.99e-48,143.0,75,1.0,<=>
560,NMB0263,NGO_1733,96.429,308,11,0,1,308,1,308,0.0,610.0,308,1.0,<=>
561,NMB0264,NGO_1732,96.446,619,22,0,1,619,1,619,0.0,1217.0,619,1.0,<=>
591,NMB0265,NGO_1730,98.462,195,3,0,1,195,1,195,6.31e-139,382.0,195,1.0,<=>
592,NMB0266,NGO_1729,95.413,109,5,0,1,109,1,109,3.9699999999999994e-48,145.0,109,1.0,<=>
594,NMB0267,NGO_1728,91.667,240,9,1,1,240,1,229,1.05e-151,417.0,240,1.0,<=>
595,NMB0268,NGO_1727,97.419,155,4,0,1,155,1,155,2.2e-113,314.0,155,1.0,<=>
597,NMB0269,NGO_1726,94.215,242,14,0,1,242,1,242,5.49e-175,477.0,242,1.0,<=>
598,NMB0270,NGO_1725,94.0,250,15,0,1,250,1,250,1.5300000000000002e-169,464.0,250,1.0,<=>
599,NMB0271,NGO_1724,92.776,263,19,0,1,263,1,263,0.0,495.0,263,1.0,<=>
600,NMB0273,NGO_1723,96.694,121,4,0,1,121,1,121,9.57e-86,253.0,142,0.852112676056338,<=>
602,NMB0274,NGO_1722,95.953,766,31,0,2,767,3,768,0.0,1495.0,767,0.9986962190352021,<=>
605,NMB0275,NGO_1721,97.318,261,7,0,1,261,1,261,0.0,516.0,261,1.0,<=>
606,NMB0276,NGO_1719,93.125,320,21,1,1,319,1,320,0.0,610.0,319,1.0031347962382444,<=>
607,NMB0277,NGO_1718,95.906,513,21,0,2,514,1,513,0.0,991.0,514,0.9980544747081712,<=>
608,NMB0278,NGO_1717,97.021,235,5,1,1,233,1,235,4.3200000000000004e-169,461.0,233,1.0085836909871244,<=>
610,NMB0279,NGO_1716,96.716,335,11,0,1,335,1,335,0.0,657.0,335,1.0,<=>
611,NMB0280,NGO_1715,90.382,759,73,0,1,759,44,802,0.0,1434.0,759,1.0,<=>
612,NMB0281,NGO_1714,94.118,289,17,0,61,349,45,333,0.0,556.0,349,0.828080229226361,<=>
613,NMB0282,NGO_1713,94.099,627,37,0,1,627,1,627,0.0,1219.0,627,1.0,<=>
615,NMB0283,NGO_1712,95.261,211,10,0,1,211,1,211,1.22e-150,413.0,211,1.0,<=>
616,NMB0284,NGO_1711,97.374,457,12,0,1,457,1,457,0.0,915.0,457,1.0,<=>
618,NMB0286,NGO_1709,97.561,205,5,0,1,205,1,205,5.819999999999999e-147,403.0,205,1.0,<=>
619,NMB0287,NGO_1708,97.35,717,19,0,1,717,1,717,0.0,1427.0,717,1.0,<=>
620,NMB0290,NGO_1706,99.342,304,2,0,1,304,1,304,0.0,620.0,304,1.0,<=>
624,NMB0291,NGO_1705,100.0,133,0,0,1,133,1,133,1.96e-92,259.0,133,1.0,<=>
625,NMB0292,NGO_1702,97.163,141,4,0,62,202,35,175,6.5e-99,280.0,202,0.698019801980198,<=>
627,NMB0293,NGO_02965,25.553,407,232,17,342,704,19,398,8.89e-12,63.2,704,0.578125,<=>
628,NMB0294,NGO_1717,72.685,216,56,2,19,232,21,235,1.09e-101,291.0,232,0.9310344827586207,->
630,NMB0295,NGO_1700,96.937,457,14,0,1,457,1,457,0.0,892.0,457,1.0,<=>
632,NMB0296,NGO_1699,98.141,269,5,0,1,269,1,269,0.0,520.0,269,1.0,<=>
634,NMB0298,NGO_10220,91.667,48,4,0,1,48,1,48,8.7e-25,83.6,62,0.7741935483870968,<=>
637,NMB0299,NGO_1178,97.0,100,3,0,50,149,1,100,2.9400000000000003e-64,187.0,149,0.6711409395973155,<=>
640,NMB0305,NGO_08990,88.889,54,3,2,1,53,1,52,5.25e-27,88.2,53,1.0188679245283019,<=>
641,NMB0307,NGO_1695,98.011,352,7,0,1,352,1,352,0.0,714.0,352,1.0,<=>
642,NMB0308,NGO_1694,94.41,161,9,0,1,161,1,161,5.41e-115,318.0,163,0.9877300613496932,<=>
643,NMB0309,NGO_1693,91.824,159,13,0,1,159,1,159,6.76e-110,305.0,159,1.0,<=>
644,NMB0310,NGO_1692,98.592,142,2,0,2,143,1,142,4.98e-99,276.0,143,0.993006993006993,<=>
645,NMB0311,NGO_1690,96.341,82,3,0,1,82,1,82,2.1800000000000003e-56,164.0,82,1.0,<=>
646,NMB0313,NGO_1688,95.112,491,21,2,1,489,1,490,0.0,959.0,489,1.0040899795501022,<=>
651,NMB0314,NGO_1687,91.95,323,26,0,1,323,1,323,0.0,611.0,323,1.0,<=>
652,NMB0315,NGO_1686,98.144,431,8,0,1,431,1,431,0.0,857.0,431,1.0,<=>
654,NMB0316,NGO_1685,96.07,229,9,0,1,229,1,229,2.5600000000000002e-160,439.0,229,1.0,<=>
