Locus Tag ID,Annotation,Amino Acid Length/Accession Number,Protein Description,Protein.ID,Location,Percent.Identity,,,,,,,,,,,
NGO0011,Old_annotation_FA1090,"103aa, >lcl|NC 002946.2 cdsid YP 207195.1",hypothetical protein,YP_207195.1,complement(12417..12728),100%,,,,,,,,,,,
NGO_0015,New_annotation_FA1090,"94aa, >lcl|AE004969.1 prot AAW88784.1 9",hypothetical protein,AAW88784.1,13341..13625,100%,,,,,,,,,,,
NGO0015,Old_annotation_FA1090,"94aa, >lcl|NC 002946.2 cdsid YP 207196.1",hypothetical protein,YP_207196.1,13341..13625,100%,,,,,,,,,,,
NGO_0016,New_annotation_FA1090,"116aa, >lcl|AE004969.1 prot AAW88785.1 10",preprotein translocase subunit SecG,AAW88785.1,complement(14081..14431),100%,,,,,,,,,,,
NGO0016,Old_annotation_FA1090,"116aa, >lcl|NC 002946.2 cdsid YP 207197.1",preprotein translocase subunit SecG,YP_207197.1,complement(14081..14431),100%,,,,,,,,,,,
NGO_0017,New_annotation_FA1090,"257aa, >lcl|AE004969.1 prot AAW88786.1 11",triosephosphate isomerase,AAW88786.1,complement(14438..15211),100%,,,,,,,,,,,
NGO0017,Old_annotation_FA1090,"257aa, >lcl|NC 002946.2 cdsid YP 207198.1",triosephosphate isomerase,YP_207198.1,complement(14438..15211),100%,,,,,,,,,,,
NGO_0018,New_annotation_FA1090,"175aa, >lcl|AE004969.1 prot AAW88787.1 12",diguanylate cyclase,AAW88787.1,15370..15897,100%,,,,,,,,,,,
NGO0018,Old_annotation_FA1090,"175aa, >lcl|NC 002946.2 cdsid YP 207199.1",hypothetical protein,YP_207199.1,15370..15897,100%,,,,,,,,,,,
NGO_0019,New_annotation_FA1090,"218aa, >lcl|AE004969.1 prot AAW88788.1 13",protein-L-isoaspartate O-methyltransferase,AAW88788.1,16000..16656,100%,,,,,,,,,,,
NGO0019,Old_annotation_FA1090,"218aa, >lcl|NC 002946.2 cdsid YP 207200.1",protein-L-isoaspartate O-methyltransferase,YP_207200.1,16000..16656,100%,,,,,,,,,,,
NGO_0020,New_annotation_FA1090,"107aa, >lcl|AE004969.1 prot AAW88789.1 14",sulfurtransferase,AAW88789.1,16737..17060,100%,,,,,,,,,,,
NGO0020,Old_annotation_FA1090,"107aa, >lcl|NC 002946.2 cdsid YP 207201.1",hypothetical protein,YP_207201.1,16737..17060,100%,,,,,,,,,,,
NGO_0021,New_annotation_FA1090,"725aa, >lcl|AE004969.1 prot AAW88790.1 15",TonB-dependent receptor,AAW88790.1,complement(17323..19500),100%,,,,,,,,,,,
NGO0021,Old_annotation_FA1090,"725aa, >lcl|NC 002946.2 cdsid YP 207202.1",TonB-dependent receptor protein,YP_207202.1,complement(17323..19500),100%,,,,,,,,,,,
NGO_0022,New_annotation_FA1090,"107aa, >lcl|AE004969.1 prot AAW88791.1 16",cupin,AAW88791.1,complement(19763..20086),100%,,,,,,,,,,,
NGO0022,Old_annotation_FA1090,"107aa, >lcl|NC 002946.2 cdsid YP 207203.1",hypothetical protein,YP_207203.1,complement(19763..20086),100%,,,,,,,,,,,
NGO_0023,New_annotation_FA1090,"323aa, >lcl|AE004969.1 prot AAW88792.1 17",iron ABC transporter substrate-binding protein,AAW88792.1,complement(20119..21090),100%,,,,,,,,,,,
NGO0023,Old_annotation_FA1090,"323aa, >lcl|NC 002946.2 cdsid YP 207204.1",ABC transporter substrate-binding protein,YP_207204.1,complement(20119..21090),100%,,,,,,,,,,,
NGO_0025,New_annotation_FA1090,"318aa, >lcl|AE004969.1 prot AAW88794.1 18",AraC family transcriptional regulator,AAW88794.1,21326..22282,100%,,,,,,,,,,,
NGO0025,Old_annotation_FA1090,"318aa, >lcl|NC 002946.2 cdsid YP 207206.1",AraC family transcriptional regulator,YP_207206.1,21326..22282,100%,,,,,,,,,,,
NGO_0026,New_annotation_FA1090,"671aa, >lcl|AE004969.1 prot AAW88795.1 19",prolyl endopeptidase,AAW88795.1,complement(22395..24410),100%,,,,,,,,,,,
NGO0026,Old_annotation_FA1090,"671aa, >lcl|NC 002946.2 cdsid YP 207207.1",prolyl endopeptidase,YP_207207.1,complement(22395..24410),100%,,,,,,,,,,,
NGO_0027,New_annotation_FA1090,"436aa, >lcl|AE004969.1 prot AAW88796.1 20",N-acetylglutamate synthase,AAW88796.1,complement(24506..25816),100%,,,,,,,,,,,
NGO0027,Old_annotation_FA1090,"436aa, >lcl|NC 002946.2 cdsid YP 207208.1",N-acetylglutamate synthase,YP_207208.1,complement(24506..25816),100%,,,,,,,,,,,
NGO_0028,New_annotation_FA1090,"142aa, >lcl|AE004969.1 prot AAW88797.1 21",MJ0042 family finger-like domain protein,AAW88797.1,complement(25813..26241),100%,,,,,,,,,,,
NGO0028,Old_annotation_FA1090,"142aa, >lcl|NC 002946.2 cdsid YP 207209.1",hypothetical protein,YP_207209.1,complement(25813..26241),100%,,,,,,,,,,,
NGO_0029,New_annotation_FA1090,"213aa, >lcl|AE004969.1 prot AAW88798.1 22",orotate phosphoribosyltransferase,AAW88798.1,complement(26309..26950),100%,,,,,,,,,,,
NGO0029,Old_annotation_FA1090,"213aa, >lcl|NC 002946.2 cdsid YP 207210.1",orotate phosphoribosyltransferase,YP_207210.1,complement(26309..26950),100%,,,,,,,,,,,
NGO_0030,New_annotation_FA1090,"245aa, >lcl|AE004969.1 prot AAW88799.1 23",DNA polymerase,AAW88799.1,complement(27012..27749),100%,,,,,,,,,,,
NGO0030,Old_annotation_FA1090,"245aa, >lcl|NC 002946.2 cdsid YP 207211.1",hypothetical protein,YP_207211.1,complement(27012..27749),100%,,,,,,,,,,,
NGO_0031,New_annotation_FA1090,"146aa, >lcl|AE004969.1 prot AAW88800.1 24",acetyltransferase,AAW88800.1,complement(27743..28183),100%,,,,,,,,,,,
NGO0031,Old_annotation_FA1090,"146aa, >lcl|NC 002946.2 cdsid YP 207212.1",acetyltransferase,YP_207212.1,complement(27743..28183),100%,,,,,,,,,,,
NGO_0032,New_annotation_FA1090,"225aa, >lcl|AE004969.1 prot AAW88801.1 25",glycoprotease,AAW88801.1,complement(28180..28857),100%,,,,,,,,,,,
NGO0032,Old_annotation_FA1090,"225aa, >lcl|NC 002946.2 cdsid YP 207213.1",hypothetical protein,YP_207213.1,complement(28180..28857),100%,,,,,,,,,,,
NGO_0033,New_annotation_FA1090,"279aa, >lcl|AE004969.1 prot AAW88802.2 26",factor H binding protein,AAW88802.2,complement(28996..29835),100%,,,,,,,,,,,
NGO0033,Old_annotation_FA1090,"285 aa, >lcl |NC_002946.2_cdsid_YP_207214.1",conserved hypothetical protein,YP_207214.1,complement(28996..29853),<100%,,,,,,,,,,,
NGO_0034,New_annotation_FA1090,"354aa, >lcl|AE004969.1 prot AAW88803.1 27","fructose-1,6-bisphosphate aldolase",AAW88803.1,complement(29992..31056),100%,,,,,,,,,,,
NGO0034,Old_annotation_FA1090,"354aa, >lcl|NC 002946.2 cdsid YP 207215.1","fructose-1,6-bisphosphate aldolase",YP_207215.1,complement(29992..31056),100%,,,,,,,,,,,
NGO_0035,New_annotation_FA1090,"305aa, >lcl|AE004969.1 prot AAW88804.1 28",recombinase XerC,AAW88804.1,31250..32167,100%,,,,,,,,,,,
NGO0035,Old_annotation_FA1090,"305aa, >lcl|NC 002946.2 cdsid YP 207216.1",site-specific recombinase,YP_207216.1,31250..32167,100%,,,,,,,,,,,
NGO_0036,New_annotation_FA1090,"637aa, >lcl|AE004969.1 prot AAW88805.1 29",1-deoxy-D-xylulose-5-phosphate synthase,AAW88805.1,32252..34165,100%,,,,,,,,,,,
NGO0036,Old_annotation_FA1090,"637aa, >lcl|NC 002946.2 cdsid YP 207217.1",1-deoxy-D-xylulose-5-phosphate synthase,YP_207217.1,32252..34165,100%,,,,,,,,,,,
NGO_00175,New_annotation_FA1090,"59aa, >lcl|AE004969.1 prot AKO63581.1 30",hypothetical protein,AKO63581.1,complement(34186..34365),Present only in new annotation,,,,,,,,,,,
NGO_0037,New_annotation_FA1090,"442aa, >lcl|AE004969.1 prot AAW88806.1 31",(dimethylallyl)adenosine tRNA methylthiotransferase,AAW88806.1,complement(34412..35740),100%,,,,,,,,,,,
NGO0037,Old_annotation_FA1090,"442aa, >lcl|NC 002946.2 cdsid YP 207218.1",(dimethylallyl)adenosine tRNA methylthiotransferase,YP_207218.1,complement(34412..35740),100%,,,,,,,,,,,
NGO_0039,New_annotation_FA1090,"127aa, >lcl|AE004969.1 prot AAW88807.2 32",glucosamine-fructose-6-phosphate aminotransferase,AAW88807.2,36077..36460,100%,,,,,,,,,,,
NGO0039,Old_annotation_FA1090,"117 aa, >lcl |NC_002946.2_cdsid_YP_207219.1",conserved hypothetical protein,YP_207219.1,36107..36460,<100%,,,,,,,,,,,
NGO_0040,New_annotation_FA1090,"426aa, >lcl|AE004969.1 prot AAW88808.1 33",glutamate-1-semialdehyde aminotransferase,AAW88808.1,36524..37804,100%,,,,,,,,,,,
NGO0040,Old_annotation_FA1090,"426aa, >lcl|NC 002946.2 cdsid YP 207220.1",glutamate-1-semialdehyde aminotransferase,YP_207220.1,36524..37804,100%,,,,,,,,,,,
NGO_00195,New_annotation_FA1090,"162aa, >lcl|AE004969.1 prot AKO63582.1 34",hypothetical protein,AKO63582.1,complement(38028..38516),Present only in new annotation,,,,,,,,,,,
NGO_00200,New_annotation_FA1090,"122aa, >lcl|AE004969.1 prot AKO63583.1 35",transposase,AKO63583.1,complement(38525..38893),Present only in new annotation,,,,,,,,,,,
NGO_0042,New_annotation_FA1090,"176aa, >lcl|AE004969.1 prot AAW88809.2 36",oligoribonuclease,AAW88809.2,complement(39110..39640),100%,,,,,,,,,,,
NGO0042,Old_annotation_FA1090,"187 aa, >lcl |NC_002946.2_cdsid_YP_207221.1",putative oligo ribonuclease,YP_207221.1,complement(39110..39673),<100%,,,,,,,,,,,
NGO_0043,New_annotation_FA1090,"295aa, >lcl|AE004969.1 prot AAW88810.1 37",ribosomal protein L11 methyltransferase,AAW88810.1,complement(39691..40578),100%,,,,,,,,,,,
NGO0043,Old_annotation_FA1090,"295aa, >lcl|NC 002946.2 cdsid YP 207222.1",50S ribosomal protein L11 methyltransferase,YP_207222.1,complement(39691..40578),100%,,,,,,,,,,,
NGO_0044,New_annotation_FA1090,"453aa, >lcl|AE004969.1 prot AAW88811.1 38",acetyl-CoA carboxylase,AAW88811.1,complement(40682..42043),100%,,,,,,,,,,,
NGO0044,Old_annotation_FA1090,"453aa, >lcl|NC 002946.2 cdsid YP 207223.1","acetyl-CoA carboxylase, biotin carboxylase",YP_207223.1,complement(40682..42043),100%,,,,,,,,,,,
NGO_0045,New_annotation_FA1090,"153aa, >lcl|AE004969.1 prot AAW88812.1 39",acetyl-CoA carboxylase,AAW88812.1,complement(42157..42618),100%,,,,,,,,,,,
NGO0045,Old_annotation_FA1090,"153aa, >lcl|NC 002946.2 cdsid YP 207224.1",acetyl-CoA carboxylase biotin carboxyl carrier protein subunit,YP_207224.1,complement(42157..42618),100%,,,,,,,,,,,
NGO_0046,New_annotation_FA1090,"85aa, >lcl|AE004969.1 prot AAW88813.1 40","acetyl-CoA carboxylase, biotin carboxyl carrier protein",AAW88813.1,complement(42600..42857),100%,,,,,,,,,,,
NGO0046,Old_annotation_FA1090,"85aa, >lcl|NC 002946.2 cdsid YP 207225.1",hypothetical protein,YP_207225.1,complement(42600..42857),100%,,,,,,,,,,,
NGO_0047,New_annotation_FA1090,"346aa, >lcl|AE004969.1 prot AAW88814.1 41",S-adenosylmethionine tRNA ribosyltransferase,AAW88814.1,42974..44014,100%,,,,,,,,,,,
NGO0047,Old_annotation_FA1090,"346aa, >lcl|NC 002946.2 cdsid YP 207226.1",S-adenosylmethionine--tRNA ribosyltransferase-isomerase,YP_207226.1,42974..44014,100%,,,,,,,,,,,
NGO_0048,New_annotation_FA1090,"1071aa, >lcl|AE004969.1 prot AAW88815.1 42",carbamoyl phosphate synthase large subunit,AAW88815.1,complement(44215..47430),100%,,,,,,,,,,,
NGO0048,Old_annotation_FA1090,"1071aa, >lcl|NC 002946.2 cdsid YP 207227.1",carbamoyl phosphate synthase large subunit,YP_207227.1,complement(44215..47430),100%,,,,,,,,,,,
NGO_0049,New_annotation_FA1090,"177aa, >lcl|AE004969.1 prot AAW88816.1 43",hypothetical protein,AAW88816.1,complement(47441..47974),100%,,,,,,,,,,,
NGO0049,Old_annotation_FA1090,"177aa, >lcl|NC 002946.2 cdsid YP 207228.1",hypothetical protein,YP_207228.1,complement(47441..47974),100%,,,,,,,,,,,
NGO_0050,New_annotation_FA1090,"129aa, >lcl|AE004969.1 prot AAW88817.1 44",DNA (cytosine-5-)-methyltransferase,AAW88817.1,complement(49539..49928),100%,,,,,,,,,,,
NGO0050,Old_annotation_FA1090,"129aa, >lcl|NC 002946.2 cdsid YP 207229.1",hypothetical protein,YP_207229.1,complement(49539..49928),100%,,,,,,,,,,,
NGO_0053,New_annotation_FA1090,"377aa, >lcl|AE004969.1 prot AAW88818.1 45",carbamoyl-phosphate synthase,AAW88818.1,complement(50524..51657),100%,,,,,,,,,,,
NGO0053,Old_annotation_FA1090,"377aa, >lcl|NC 002946.2 cdsid YP 207230.1",carbamoyl phosphate synthase small subunit,YP_207230.1,complement(50524..51657),100%,,,,,,,,,,,
NGO_00270,New_annotation_FA1090,"37aa, >lcl|AE004969.1 prot AKO63584.1 46",polyprotein,AKO63584.1,52440..52553,Present only in new annotation,,,,,,,,,,,
NGO_0055,New_annotation_FA1090,"1004aa, >lcl|AE004969.1 prot AAW88820.2 47",pilus assembly protein,AAW88820.2,complement(52527..55541),100%,,,,,,,,,,,
NGO0055,Old_annotation_FA1090,"1047 aa, >lcl |NC_002946.2_cdsid_YP_207232.1",pilus-associated protein,YP_207232.1,complement(52527..55670),<100%,,,,,,,,,,,
NGO_00280,New_annotation_FA1090,"110aa, >lcl|AE004969.1 prot AKO63585.1 48",hypothetical protein,AKO63585.1,55826..56158,Present only in new annotation,,,,,,,,,,,
NGO_0056,New_annotation_FA1090,"359aa, >lcl|AE004969.1 prot AAW88821.1 49",ATP-binding protein,AAW88821.1,complement(57122..58201),100%,,,,,,,,,,,
NGO0056,Old_annotation_FA1090,"359aa, >lcl|NC 002946.2 cdsid YP 207233.1",ATPase,YP_207233.1,complement(57122..58201),100%,,,,,,,,,,,
NGO_0057,New_annotation_FA1090,"169aa, >lcl|AE004969.1 prot AAW88822.1 50",thioredoxin,AAW88822.1,58575..59084,100%,,,,,,,,,,,
NGO0057,Old_annotation_FA1090,"169aa, >lcl|NC 002946.2 cdsid YP 207234.1",thioredoxin,YP_207234.1,58575..59084,100%,,,,,,,,,,,
NGO_00300,New_annotation_FA1090,"40aa, >lcl|AE004969.1 prot AKO63586.1 51",hypothetical protein,AKO63586.1,59299..59421,Present only in new annotation,,,,,,,,,,,
NGO_0058,New_annotation_FA1090,"146aa, >lcl|AE004969.1 prot AAW88823.2 52",homoprotocatechuate degradative operon repressor,AAW88823.2,59425..59865,100%,,,,,,,,,,,
NGO0058,Old_annotation_FA1090,"125aa, >lcl|NC 002946.2 cdsid YP 207235.1",MarR family transcriptional regulator,YP_207235.1,59488..59865,100%,,,,,,,,,,,
NGO_0059,New_annotation_FA1090,"166aa, >lcl|AE004969.1 prot AAW88824.1 53",MFS transporter,AAW88824.1,59981..60481,100%,,,,,,,,,,,
NGO0059,Old_annotation_FA1090,"166aa, >lcl|NC 002946.2 cdsid YP 207236.1",flavoprotein oxidoreductase,YP_207236.1,59981..60481,100%,,,,,,,,,,,
NGO_0060,New_annotation_FA1090,"231aa, >lcl|AE004969.1 prot AAW88825.1 54",mannose-1-phosphate guanylyltransferase,AAW88825.1,60497..61192,100%,,,,,,,,,,,
NGO0060,Old_annotation_FA1090,"231aa, >lcl|NC 002946.2 cdsid YP 207237.1",sugar-phosphate transferase,YP_207237.1,60497..61192,100%,,,,,,,,,,,
NGO_0062,New_annotation_FA1090,"558aa, >lcl|AE004969.1 prot AAW88826.1 55",formate--tetrahydrofolate ligase,AAW88826.1,61831..63507,100%,,,,,,,,,,,
NGO0062,Old_annotation_FA1090,"558aa, >lcl|NC 002946.2 cdsid YP 207238.1",formate--tetrahydrofolate ligase,YP_207238.1,61831..63507,100%,,,,,,,,,,,
NGO_0063,New_annotation_FA1090,"363aa, >lcl|AE004969.1 prot AAW88827.1 56",GTP-binding protein,AAW88827.1,63621..64712,100%,,,,,,,,,,,
NGO0063,Old_annotation_FA1090,"363aa, >lcl|NC 002946.2 cdsid YP 207239.1",GTP-dependent nucleic acid-binding protein EngD,YP_207239.1,63621..64712,100%,,,,,,,,,,,
NGO_0064,New_annotation_FA1090,"79aa, >lcl|AE004969.1 prot AAW88828.1 57",hypothetical protein,AAW88828.1,64750..64989,100%,,,,,,,,,,,
NGO0064,Old_annotation_FA1090,"79aa, >lcl|NC 002946.2 cdsid YP 207240.1",hypothetical protein,YP_207240.1,64750..64989,100%,,,,,,,,,,,
NGO_0065,New_annotation_FA1090,"624aa, >lcl|AE004969.1 prot AAW88829.1 58",acetyltransferase,AAW88829.1,64986..66860,100%,,,,,,,,,,,
NGO0065,Old_annotation_FA1090,"624aa, >lcl|NC 002946.2 cdsid YP 207241.1",lipo-oligosaccharide acyltransferase,YP_207241.1,64986..66860,100%,,,,,,,,,,,
NGO_0066,New_annotation_FA1090,"431aa, >lcl|AE004969.1 prot AAW88830.1 59",tyrosyl-tRNA synthetase,AAW88830.1,66922..68217,100%,,,,,,,,,,,
NGO0066,Old_annotation_FA1090,"431aa, >lcl|NC 002946.2 cdsid YP 207242.1",tyrosyl-tRNA synthase,YP_207242.1,66922..68217,100%,,,,,,,,,,,
NGO_00350,New_annotation_FA1090,"229aa, >lcl|AE004969.1 prot AKO63587.1 60",Opacity protein opA54,AKO63587.1,complement(69021..69710),Present only in new annotation,,,,,,,,,,,
NGO0068,Old_annotation_FA1090,"319 aa, >lcl |NC_002946.2_cdsid_YP_207243.1",putative riboflavin kinase / FMN adenylyltransferase,YP_207243.1,70214..71173,<100%,,,,,,,,,,,
NGO_0068,New_annotation_FA1090,"306aa, >lcl|AE004969.1 prot AAW88831.2 61",riboflavin kinase,AAW88831.2,70253..71173,100%,,,,,,,,,,,
NGO_0069,New_annotation_FA1090,"929aa, >lcl|AE004969.1 prot AAW88832.1 62",isoleucine--tRNA ligase,AAW88832.1,71315..74104,100%,,,,,,,,,,,
NGO0069,Old_annotation_FA1090,"929aa, >lcl|NC 002946.2 cdsid YP 207244.1",isoleucyl-tRNA synthetase,YP_207244.1,71315..74104,100%,,,,,,,,,,,
NGO_0070,New_annotation_FA1090,"227aa, >lcl|AE004969.1 prot AAW88833.2 63",Opacity protein opA54,AAW88833.2,complement(74783..75466),100%,,,,,,,,,,,
NGO0070,Old_annotation_FA1090,"265 aa, >lcl |NC_002946.2_cdsid_YP_207245.1",outer membrane opacity protein B,YP_207245.1,complement(74783..75580),<100%,,,,,,,,,,,
NGO_0071,New_annotation_FA1090,"164aa, >lcl|AE004969.1 prot AAW88834.1 64",peptidase A8,AAW88834.1,76565..77059,100%,,,,,,,,,,,
NGO0071,Old_annotation_FA1090,"164aa, >lcl|NC 002946.2 cdsid YP 207246.1",lipoprotein signal peptidase,YP_207246.1,76565..77059,100%,,,,,,,,,,,
NGO_0072,New_annotation_FA1090,"322aa, >lcl|AE004969.1 prot AAW88835.1 65",4-hydroxy-3-methylbut-2-enyl diphosphate reductase,AAW88835.1,77089..78057,100%,,,,,,,,,,,
NGO0072,Old_annotation_FA1090,"322aa, >lcl|NC 002946.2 cdsid YP 207247.1",4-hydroxy-3-methylbut-2-enyl diphosphate reductase,YP_207247.1,77089..78057,100%,,,,,,,,,,,
NGO_00385,New_annotation_FA1090,"149aa, >lcl|AE004969.1 prot AKO63588.1 66",transposase,AKO63588.1,78158..78607,Present only in new annotation,,,,,,,,,,,
NGO_0073,New_annotation_FA1090,"219aa, >lcl|AE004969.1 prot AAW88836.1 67",phosphatase,AAW88836.1,complement(78813..79472),100%,,,,,,,,,,,
NGO0073,Old_annotation_FA1090,"219aa, >lcl|NC 002946.2 cdsid YP 207248.1",phosphatase,YP_207248.1,complement(78813..79472),100%,,,,,,,,,,,
NGO_00395,New_annotation_FA1090,"75aa, >lcl|AE004969.1 prot AKO63589.1 68",TonB-dependent receptor,AKO63589.1,79620..79847,Present only in new annotation,,,,,,,,,,,
NGO_00400,New_annotation_FA1090,"145aa, >lcl|AE004969.1 prot AKO63590.1 69",hypothetical protein,AKO63590.1,79899..80336,Present only in new annotation,,,,,,,,,,,
NGO_0076,New_annotation_FA1090,"106aa, >lcl|AE004969.1 prot AAW88837.1 70",hypothetical protein,AAW88837.1,80406..80726,100%,,,,,,,,,,,
NGO0076,Old_annotation_FA1090,"106aa, >lcl|NC 002946.2 cdsid YP 207249.1",hypothetical protein,YP_207249.1,80406..80726,100%,,,,,,,,,,,
NGO_0077,New_annotation_FA1090,"207aa, >lcl|AE004969.1 prot AAW88838.1 71",esterase,AAW88838.1,80714..81337,100%,,,,,,,,,,,
NGO0077,Old_annotation_FA1090,"207aa, >lcl|NC 002946.2 cdsid YP 207250.1",hypothetical protein,YP_207250.1,80714..81337,100%,,,,,,,,,,,
NGO_0078,New_annotation_FA1090,"1144aa, >lcl|AE004969.1 prot AAW88839.1 72",DNA polymerase III subunit alpha,AAW88839.1,complement(81989..85423),100%,,,,,,,,,,,
NGO0078,Old_annotation_FA1090,"1144aa, >lcl|NC 002946.2 cdsid YP 207251.1",DNA polymerase III subunit alpha,YP_207251.1,complement(81989..85423),100%,,,,,,,,,,,
NGO_0079,New_annotation_FA1090,"77aa, >lcl|AE004969.1 prot AAW88840.1 73",RNA-binding protein,AAW88840.1,85956..86189,100%,,,,,,,,,,,
NGO0079,Old_annotation_FA1090,"77aa, >lcl|NC 002946.2 cdsid YP 207252.1",hypothetical protein,YP_207252.1,85956..86189,100%,,,,,,,,,,,
NGO_0080,New_annotation_FA1090,"67aa, >lcl|AE004969.1 prot AAW88841.1 74",hypothetical protein,AAW88841.1,86167..86370,100%,,,,,,,,,,,
NGO0080,Old_annotation_FA1090,"67aa, >lcl|NC 002946.2 cdsid YP 207253.1",hypothetical protein,YP_207253.1,86167..86370,100%,,,,,,,,,,,
NGO_00430,New_annotation_FA1090,"84aa, >lcl|AE004969.1 prot AKO63591.1 75",hypothetical protein,AKO63591.1,complement(86412..86666),Present only in new annotation,,,,,,,,,,,
NGO_0081,New_annotation_FA1090,"278aa, >lcl|AE004969.1 prot AAW88842.1 76",phosphoesterase,AAW88842.1,86665..87501,100%,,,,,,,,,,,
NGO0081,Old_annotation_FA1090,"278aa, >lcl|NC 002946.2 cdsid YP 207254.1",hypothetical protein,YP_207254.1,86665..87501,100%,,,,,,,,,,,
NGO_0082,New_annotation_FA1090,"430aa, >lcl|AE004969.1 prot AAW88843.1 77",valine--pyruvate aminotransferase,AAW88843.1,complement(87553..88845),100%,,,,,,,,,,,
NGO0082,Old_annotation_FA1090,"430aa, >lcl|NC 002946.2 cdsid YP 207255.1",valine--pyruvate transaminase,YP_207255.1,complement(87553..88845),100%,,,,,,,,,,,
NGO_0083,New_annotation_FA1090,"636aa, >lcl|AE004969.1 prot AAW88844.1 78",protein-PII uridylyltransferase,AAW88844.1,complement(88901..90811),100%,,,,,,,,,,,
NGO0083,Old_annotation_FA1090,"636aa, >lcl|NC 002946.2 cdsid YP 207256.1",pilin glycosylation protein,YP_207256.1,complement(88901..90811),100%,,,,,,,,,,,
NGO_0084,New_annotation_FA1090,"401aa, >lcl|AE004969.1 prot AAW88845.2 79",aminotransferase,AAW88845.2,complement(90859..92064),100%,,,,,,,,,,,
NGO0084,Old_annotation_FA1090,"391aa, >lcl|NC 002946.2 cdsid YP 207257.1",pilin glycosylation protein,YP_207257.1,complement(90859..92034),100%,,,,,,,,,,,
NGO_0085,New_annotation_FA1090,"413aa, >lcl|AE004969.1 prot AAW88846.1 80",UDP-N-acetylgalactosaminyltransferase,AAW88846.1,complement(92165..93406),100%,,,,,,,,,,,
NGO0085,Old_annotation_FA1090,"413aa, >lcl|NC 002946.2 cdsid YP 207258.1",PglB protein,YP_207258.1,complement(92165..93406),100%,,,,,,,,,,,
NGO_0086,New_annotation_FA1090,"388aa, >lcl|AE004969.1 prot AAW88847.1 81",glycosyl transferase family 1,AAW88847.1,complement(93399..94565),100%,,,,,,,,,,,
NGO0086,Old_annotation_FA1090,"388aa, >lcl|NC 002946.2 cdsid YP 207259.1",hypothetical protein,YP_207259.1,complement(93399..94565),100%,,,,,,,,,,,
NGO_0087,New_annotation_FA1090,"354aa, >lcl|AE004969.1 prot AAW88848.1 82",glycosyl transferase family 1,AAW88848.1,complement(94579..95643),100%,,,,,,,,,,,
NGO0087,Old_annotation_FA1090,"354aa, >lcl|NC 002946.2 cdsid YP 207260.1",hypothetical protein,YP_207260.1,complement(94579..95643),100%,,,,,,,,,,,
